x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,x21,y21,z21,x22,y22,z22,x23,y23,z23,x24,y24,z24,x25,y25,z25,x26,y26,z26,x27,y27,z27,x28,y28,z28,x29,y29,z29,x30,y30,z30,x31,y31,z31,x32,y32,z32,x33,y33,z33
-0.1648610681295395,0.12513473629951477,1.1909945011138916,-0.1649000346660614,-0.010928541421890259,1.2175213098526,-0.16549426317214966,-0.1471843123435974,1.2430340051651,-0.1660885065793991,-0.2834441661834717,1.268547534942627,-0.12847982347011566,-0.2835223972797394,1.2730990648269653,0.006438329815864563,-0.2811468541622162,1.2889286279678345,0.06738689541816711,-0.038129597902297974,1.2465380430221558,0.07194828987121582,0.10233919322490692,1.046674370765686,0.07286056876182556,0.13043294847011566,1.0067015886306763,0.07468512654304504,0.18662047386169434,0.9267561435699463,0.01810760423541069,0.1741856336593628,0.9764639139175415,-0.2037036418914795,-0.2848469018936157,1.2642732858657837,-0.3386217951774597,-0.2872224450111389,1.2484437227249146,-0.34735503792762756,-0.05006282031536102,1.1576244831085205,-0.30611997842788696,0.09864829480648041,0.9681978225708008,-0.29787296056747437,0.12839052081108093,0.9303125143051147,-0.28137892484664917,0.18787497282028198,0.8545418381690979,-0.2350357472896576,0.16751402616500854,0.9116753935813904,-0.08256915956735611,0.12702873349189758,1.2008302211761475,0.048468880355358124,0.20559225976467133,0.8750187158584595,0.04981596767902374,0.5196985602378845,0.8145745396614075,0.08787957578897476,0.5813958644866943,0.7128489017486572,-0.24715298414230347,0.12324074655771255,1.1811587810516357,-0.27850502729415894,0.2261083722114563,0.8377469778060913,-0.2768949270248413,0.542699933052063,0.8834117650985718,-0.2850152254104614,0.6355357766151428,0.8002307415008545,-0.1580127477645874,-0.42013466358184814,1.1559364795684814,-0.15841762721538544,-0.47194498777389526,1.1423978805541992,-0.13146385550498962,-0.5188223719596863,1.1727098226547241,-0.08543497323989868,-0.5226963758468628,1.2835962772369385,-0.19522859156131744,-0.5163426399230957,1.1651270389556885,-0.2661017179489136,-0.5156703591346741,1.2621116638183594,0.037577129900455475,0.603834867477417,0.8283350467681885,-0.27365145087242126,0.6172851920127869,0.9263603687286377
-0.1648610681295395,0.12513473629951477,1.1909945011138916,-0.1649000346660614,-0.010928541421890259,1.2175213098526,-0.16549426317214966,-0.1471843123435974,1.2430340051651,-0.1660885065793991,-0.2834441661834717,1.268547534942627,-0.12847982347011566,-0.2835223972797394,1.2730990648269653,0.006438329815864563,-0.2811468541622162,1.2889286279678345,0.06738689541816711,-0.038129597902297974,1.2465380430221558,0.07194828987121582,0.10233919322490692,1.046674370765686,0.07286056876182556,0.13043294847011566,1.0067015886306763,0.07468512654304504,0.18662047386169434,0.9267561435699463,0.01810760423541069,0.1741856336593628,0.9764639139175415,-0.2037036418914795,-0.2848469018936157,1.2642732858657837,-0.3386217951774597,-0.2872224450111389,1.2484437227249146,-0.34735503792762756,-0.05006282031536102,1.1576244831085205,-0.30611997842788696,0.09864829480648041,0.9681978225708008,-0.29787296056747437,0.12839052081108093,0.9303125143051147,-0.28137892484664917,0.18787497282028198,0.8545418381690979,-0.2350357472896576,0.16751402616500854,0.9116753935813904,-0.08256915956735611,0.12702873349189758,1.2008302211761475,0.048468880355358124,0.20559225976467133,0.8750187158584595,0.04981596767902374,0.5196985602378845,0.8145745396614075,0.08787957578897476,0.5813958644866943,0.7128489017486572,-0.24715298414230347,0.12324074655771255,1.1811587810516357,-0.27850502729415894,0.2261083722114563,0.8377469778060913,-0.2768949270248413,0.542699933052063,0.8834117650985718,-0.2850152254104614,0.6355357766151428,0.8002307415008545,-0.1580127477645874,-0.42013466358184814,1.1559364795684814,-0.15841762721538544,-0.47194498777389526,1.1423978805541992,-0.13146385550498962,-0.5188223719596863,1.1727098226547241,-0.08543497323989868,-0.5226963758468628,1.2835962772369385,-0.19522859156131744,-0.5163426399230957,1.1651270389556885,-0.2661017179489136,-0.5156703591346741,1.2621116638183594,0.037577129900455475,0.603834867477417,0.8283350467681885,-0.27365145087242126,0.6172851920127869,0.9263603687286377
-0.16995468735694885,0.1350094974040985,1.1922475099563599,-0.16910041868686676,-0.0010636299848556519,1.2182503938674927,-0.1684274971485138,-0.1373235434293747,1.243261694908142,-0.16775456070899963,-0.27358752489089966,1.2682737112045288,-0.1300976425409317,-0.27344971895217896,1.2721816301345825,0.00505375862121582,-0.270297110080719,1.2857205867767334,0.07499420642852783,-0.02880851924419403,1.2488257884979248,0.07429293543100357,0.10823668539524078,1.046547770500183,0.07415267825126648,0.13564573228359222,1.0060921907424927,0.0738721713423729,0.1904638111591339,0.925180971622467,0.019434116780757904,0.18071922659873962,0.9777936339378357,-0.2054041624069214,-0.2752063572406769,1.2646375894546509,-0.3405555486679077,-0.27835896611213684,1.2510986328125,-0.35730496048927307,-0.03930467367172241,1.166587471961975,-0.31640201807022095,0.10284465551376343,0.9721169471740723,-0.3082214295864105,0.1312745213508606,0.9332228302955627,-0.2918602526187897,0.18813425302505493,0.8554346561431885,-0.2456493377685547,0.17029690742492676,0.9135115742683411,-0.08757434040307999,0.13723590970039368,1.2011919021606445,0.047805048525333405,0.20655982196331024,0.8749029636383057,0.0478767454624176,0.5210258960723877,0.8156627416610718,0.08653618395328522,0.5833651423454285,0.714494526386261,-0.2523350417613983,0.13278308510780334,1.1833031177520752,-0.2826445698738098,0.22725176811218262,0.8372470140457153,-0.2776741087436676,0.5436115264892578,0.8851017355918884,-0.28473907709121704,0.6371333599090576,0.8025214672088623,-0.15864703059196472,-0.41303151845932007,1.1587620973587036,-0.1585753709077835,-0.4652251601219177,1.1464428901672363,-0.13102132081985474,-0.5111631751060486,1.177815556526184,-0.08454744517803192,-0.5119402408599854,1.288766860961914,-0.19492167234420776,-0.5094953179359436,1.1703776121139526,-0.2655984163284302,-0.5072147250175476,1.2676925659179688,0.035014163702726364,0.6050681471824646,0.8296387195587158,-0.2736622989177704,0.6178908348083496,0.9285800457000732
-0.17118503153324127,0.14180347323417664,1.189895510673523,-0.1692689210176468,0.00565318763256073,1.2145532369613647,-0.16790053248405457,-0.13069383800029755,1.238136887550354,-0.16653209924697876,-0.26704496145248413,1.2617212533950806,-0.12895268201828003,-0.2667032480239868,1.265928864479065,0.006053492426872253,-0.26281285285949707,1.2805874347686768,0.0823386162519455,-0.02270461618900299,1.2479463815689087,0.07846342027187347,0.11020958423614502,1.0430397987365723,0.07768838107585907,0.13679242134094238,1.002058506011963,0.07613830268383026,0.1899580955505371,0.9200958609580994,0.02304217591881752,0.18229784071445465,0.9743702411651611,-0.20409664511680603,-0.268868625164032,1.2577699422836304,-0.3391028046607971,-0.27275902032852173,1.2431113719940186,-0.3676585853099823,-0.030521884560585022,1.1721004247665405,-0.32015442848205566,0.10399563610553741,0.973816990852356,-0.31065359711647034,0.13089914619922638,0.9341602921485901,-0.2916519343852997,0.18470615148544312,0.8548469543457031,-0.24795056879520416,0.17029519379138947,0.9157247543334961,-0.08907384425401688,0.14490798115730286,1.2006566524505615,0.04733290523290634,0.21043916046619415,0.8740102052688599,0.048354923725128174,0.5237432718276978,0.8089048862457275,0.08754554390907288,0.5840944051742554,0.7067397236824036,-0.25329622626304626,0.13869896531105042,1.1791343688964844,-0.2862001061439514,0.22528088092803955,0.8312551975250244,-0.2850576937198639,0.5422068238258362,0.875480055809021,-0.29363054037094116,0.6346805691719055,0.7918679118156433,-0.1559109389781952,-0.408796489238739,1.155095100402832,-0.15541072189807892,-0.46127957105636597,1.1438591480255127,-0.1276555061340332,-0.5063936114311218,1.1763379573822021,-0.08166036009788513,-0.5045216679573059,1.287589192390442,-0.19158613681793213,-0.5053396224975586,1.1685686111450195,-0.26279711723327637,-0.5015353560447693,1.265575885772705,0.03563205897808075,0.6080609560012817,0.8212581872940063,-0.28181928396224976,0.6170242428779602,0.9180923700332642
-0.17194432020187378,0.14367073774337769,1.1912715435028076,-0.16961494088172913,0.007664158940315247,1.2158271074295044,-0.16791005432605743,-0.12854555249214172,1.239283561706543,-0.16620512306690216,-0.264759361743927,1.2627407312393188,-0.1286829710006714,-0.26430627703666687,1.267071008682251,0.006259113550186157,-0.2600136995315552,1.2821897268295288,0.08620505034923553,-0.02105611562728882,1.2506098747253418,0.07998206466436386,0.10842430591583252,1.0436795949935913,0.07873746752738953,0.13432039320468903,1.002293586730957,0.07624827325344086,0.18611256778240204,0.9195214509963989,0.02409166470170021,0.1799243986606598,0.9748450517654419,-0.2037087380886078,-0.2666928768157959,1.2586653232574463,-0.33865082263946533,-0.2709854543209076,1.2435466051101685,-0.3748106062412262,-0.027993783354759216,1.1792280673980713,-0.3219011425971985,0.10233154892921448,0.9796285629272461,-0.3113192617893219,0.12839661538600922,0.9397086501121521,-0.29015547037124634,0.1805267482995987,0.8598688840866089,-0.24856792390346527,0.16827237606048584,0.9226351976394653,-0.08997082710266113,0.14715473353862762,1.2027922868728638,0.04798571765422821,0.20979046821594238,0.8762357234954834,0.049084994941949844,0.5226658582687378,0.8091285228729248,0.08869154006242752,0.5823876857757568,0.7067568898200989,-0.2539178133010864,0.14018674194812775,1.1797508001327515,-0.28520289063453674,0.22243767976760864,0.8306800127029419,-0.2907383143901825,0.5394709706306458,0.8737478256225586,-0.30034223198890686,0.6314631700515747,0.789720892906189,-0.15445175766944885,-0.4076191782951355,1.1574221849441528,-0.15362069010734558,-0.46025800704956055,1.1466872692108154,-0.12568087875843048,-0.5049418210983276,1.1797176599502563,-0.0799856036901474,-0.5017271637916565,1.2911927700042725,-0.18965713679790497,-0.504325270652771,1.1717417240142822,-0.26125168800354004,-0.4999803900718689,1.26859450340271,0.03624923899769783,0.6070504188537598,0.8208833336830139,-0.2893821597099304,0.6144846677780151,0.9161127209663391
-0.17317010462284088,0.14638373255729675,1.1951828002929688,-0.1708649843931198,0.010572895407676697,1.219658613204956,-0.16886964440345764,-0.1254299432039261,1.2430726289749146,-0.1668742448091507,-0.2614368498325348,1.2664873600006104,-0.12942926585674286,-0.2608758211135864,1.2709766626358032,0.005446329712867737,-0.25619131326675415,1.2866929769515991,0.09154682606458664,-0.01891636848449707,1.2597051858901978,0.08484391868114471,0.10197490453720093,1.047762393951416,0.08350333571434021,0.1261531561613083,1.0053738355636597,0.0808221697807312,0.1745096743106842,0.920596718788147,0.029097184538841248,0.17112751305103302,0.9765255451202393,-0.20429754257202148,-0.2634761333465576,1.2622525691986084,-0.3391731381416321,-0.2681606411933899,1.2465362548828125,-0.3840491771697998,-0.025289341807365417,1.1878787279129028,-0.32440999150276184,0.10026763379573822,0.9872348308563232,-0.31248214840888977,0.1253790259361267,0.9471060633659363,-0.28862646222114563,0.17560182511806488,0.8668484687805176,-0.2497178316116333,0.16585524380207062,0.9317026734352112,-0.09130050241947174,0.14992672204971313,1.2071316242218018,0.04694981873035431,0.20642204582691193,0.8796262741088867,0.04941821098327637,0.5191447138786316,0.8120208978652954,0.08909425139427185,0.5785039067268372,0.7094829082489014,-0.25503969192504883,0.14284074306488037,1.1832339763641357,-0.2833830416202545,0.2253413200378418,0.8340134620666504,-0.2868419289588928,0.5424684286117554,0.8763278722763062,-0.2951987385749817,0.6343262195587158,0.7920423746109009,-0.1547209620475769,-0.40393203496932983,1.1599491834640503,-0.15370433032512665,-0.456632524728775,1.148842692375183,-0.12546588480472565,-0.5015381574630737,1.1816205978393555,-0.07947754114866257,-0.49886488914489746,1.293326735496521,-0.18962284922599792,-0.5011138319969177,1.1737343072891235,-0.2612556517124176,-0.4976625144481659,1.270982265472412,0.03701566159725189,0.6035991907119751,0.8236650824546814,-0.2852092981338501,0.6175581812858582,0.9185278415679932
-0.1738584041595459,0.14670252799987793,1.1965961456298828,-0.17169520258903503,0.01098497211933136,1.2207838296890259,-0.16955293715000153,-0.12490791082382202,1.24396812915802,-0.16741059720516205,-0.2608048617839813,1.2671531438827515,-0.13000774383544922,-0.2602071762084961,1.2716562747955322,0.004865199327468872,-0.2553873658180237,1.2874447107315063,0.09221059083938599,-0.01841464638710022,1.2618542909622192,0.08606929332017899,0.09951059520244598,1.0482319593429565,0.0848410353064537,0.12309564650058746,1.005507469177246,0.08238451927900314,0.17026573419570923,0.92005854845047,0.03051525354385376,0.16766774654388428,0.9758949279785156,-0.2047901749610901,-0.2628796100616455,1.262902021408081,-0.3396631181240082,-0.2676994204521179,1.247113585472107,-0.38616281747817993,-0.025074228644371033,1.1887102127075195,-0.3250959813594818,0.09953709691762924,0.9879082441329956,-0.31288260221481323,0.12445936352014542,0.9477478265762329,-0.28845587372779846,0.17430388927459717,0.8674270510673523,-0.25014400482177734,0.165113627910614,0.9327157139778137,-0.09198573976755142,0.15010946989059448,1.2083903551101685,0.04540099948644638,0.20675647258758545,0.8805550336837769,0.047473058104515076,0.5199454426765442,0.8151577711105347,0.08676213026046753,0.5800491571426392,0.712907612323761,-0.25573107600212097,0.14329558610916138,1.1848019361495972,-0.2822663486003876,0.22905205190181732,0.8362309336662292,-0.2843046486377716,0.546215295791626,0.8783236742019653,-0.2918657064437866,0.6380555629730225,0.793947160243988,-0.15525537729263306,-0.4019111394882202,1.1584627628326416,-0.15416689217090607,-0.45450472831726074,1.1465972661972046,-0.12572574615478516,-0.4998634457588196,1.1786984205245972,-0.07939693331718445,-0.49867767095565796,1.2904322147369385,-0.18997398018836975,-0.4994514584541321,1.1709785461425781,-0.26143360137939453,-0.4975103735923767,1.2685589790344238,0.03506738692522049,0.6043071746826172,0.8274420499801636,-0.2824637293815613,0.6213229894638062,0.9204800724983215
-0.17402297258377075,0.14695200324058533,1.1964726448059082,-0.17168214917182922,0.011374711990356445,1.2205621004104614,-0.16912679374217987,-0.12436948716640472,1.2436697483062744,-0.16657136380672455,-0.260117769241333,1.2667781114578247,-0.12920689582824707,-0.25941482186317444,1.2712361812591553,0.005685374140739441,-0.25421199202537537,1.2868828773498535,0.0927758738398552,-0.01725931465625763,1.2602291107177734,0.08626985549926758,0.09899899363517761,1.045702338218689,0.08496864885091782,0.12225065380334854,1.00279700756073,0.08236624300479889,0.168753981590271,0.916986346244812,0.030538346618413925,0.16649022698402405,0.9728769063949585,-0.2039080709218979,-0.26229608058929443,1.2625713348388672,-0.3388003408908844,-0.2674989104270935,1.246924638748169,-0.38647204637527466,-0.02496933937072754,1.1890578269958496,-0.32417532801628113,0.09961100667715073,0.988611102104187,-0.3117159903049469,0.12452707439661026,0.9485217332839966,-0.28679728507995605,0.17435921728610992,0.8683430552482605,-0.2490127980709076,0.1654130220413208,0.9339731931686401,-0.0921422466635704,0.15040744841098785,1.2079637050628662,0.044823773205280304,0.20687392354011536,0.879941463470459,0.045865997672080994,0.5204410552978516,0.8164401054382324,0.08479222655296326,0.5812731385231018,0.7144901752471924,-0.2559036910533905,0.1434965580701828,1.1849815845489502,-0.2810949981212616,0.23038169741630554,0.8366094827651978,-0.2822680175304413,0.5476478338241577,0.8778249025344849,-0.28928306698799133,0.6392742395401001,0.7931787967681885,-0.15521754324436188,-0.40024858713150024,1.1564290523529053,-0.15425421297550201,-0.452774316072464,1.1439961194992065,-0.12562929093837738,-0.49854224920272827,1.1754807233810425,-0.07855779677629471,-0.4985649585723877,1.287054419517517,-0.18999430537223816,-0.497988760471344,1.1681554317474365,-0.2609253227710724,-0.49699681997299194,1.2662992477416992,0.033237993717193604,0.6046860814094543,0.8292562961578369,-0.2803206741809845,0.6228610277175903,0.9197787642478943
-0.17412759363651276,0.1455075740814209,1.195495367050171,-0.17160360515117645,0.01004597544670105,1.2195173501968384,-0.16869042813777924,-0.12556983530521393,1.2426069974899292,-0.16577716171741486,-0.26118969917297363,1.2656973600387573,-0.12844011187553406,-0.2603989243507385,1.270087480545044,0.00649513304233551,-0.25487518310546875,1.285506248474121,0.09205751866102219,-0.017449751496315002,1.257444977760315,0.08540976047515869,0.0986151471734047,1.0427372455596924,0.08408021181821823,0.12182813137769699,0.9997957348823547,0.08142110705375671,0.168254092335701,0.9139126539230347,0.029465842992067337,0.1657625436782837,0.9697054028511047,-0.20308256149291992,-0.26345449686050415,1.2615582942962646,-0.3380178213119507,-0.2689782381057739,1.2461395263671875,-0.38592228293418884,-0.02625255286693573,1.1889678239822388,-0.322991281747818,0.09949377179145813,0.9893627166748047,-0.31040507555007935,0.12464304268360138,0.94944167137146,-0.28523266315460205,0.17494156956672668,0.8695996403694153,-0.24772170186042786,0.16577070951461792,0.9353811740875244,-0.09223463386297226,0.14900930225849152,1.2066373825073242,0.04450886696577072,0.20644357800483704,0.8787155747413635,0.044562868773937225,0.5207029581069946,0.8188334107398987,0.08316229283809662,0.5828126072883606,0.7175414562225342,-0.25602054595947266,0.14200584590435028,1.1843533515930176,-0.2814425826072693,0.23091056942939758,0.8365317583084106,-0.2813750207424164,0.5481674671173096,0.8776761889457703,-0.28818970918655396,0.639795184135437,0.7930268049240112,-0.15496504306793213,-0.40031397342681885,1.1537795066833496,-0.15404462814331055,-0.4527565538883209,1.1408002376556396,-0.12519502639770508,-0.4988641142845154,1.1716866493225098,-0.07745489478111267,-0.4999879002571106,1.2830846309661865,-0.18965652585029602,-0.4982720613479614,1.1647231578826904,-0.2600957751274109,-0.4983104169368744,1.2633548974990845,0.03171439468860626,0.6047528386116028,0.8326367139816284,-0.27908092737197876,0.6233772039413452,0.9196074604988098
-0.17476947605609894,0.14293065667152405,1.195317029953003,-0.17223083972930908,0.007430851459503174,1.21903395652771,-0.16912879049777985,-0.128217875957489,1.241814136505127,-0.16602665185928345,-0.2638706564903259,1.2645950317382812,-0.1286907196044922,-0.26304343342781067,1.2689526081085205,0.006366044282913208,-0.2573818266391754,1.284274697303772,0.08971459418535233,-0.01912739872932434,1.2528804540634155,0.0862748771905899,0.09783051908016205,1.0381114482879639,0.08558693528175354,0.1212221011519432,0.9951576590538025,0.08421105146408081,0.16800527274608612,0.9092500805854797,0.031164150685071945,0.16498708724975586,0.9641593098640442,-0.20332887768745422,-0.26617228984832764,1.260485053062439,-0.3383856415748596,-0.2718338966369629,1.2451629638671875,-0.3861616551876068,-0.028306126594543457,1.1894007921218872,-0.32263824343681335,0.09963478147983551,0.990874707698822,-0.3099335730075836,0.12522296607494354,0.951169490814209,-0.28452420234680176,0.1763993352651596,0.8717590570449829,-0.24715584516525269,0.16663894057273865,0.9376866817474365,-0.092867411673069,0.14635811746120453,1.2061320543289185,0.04408737272024155,0.2021315097808838,0.8780181407928467,0.04213317856192589,0.5169461965560913,0.8211898803710938,0.08027908205986023,0.5802757740020752,0.7204856872558594,-0.2566715478897095,0.13950319588184357,1.1845020055770874,-0.2833385467529297,0.2282273769378662,0.8367335200309753,-0.2807583212852478,0.5457257032394409,0.8758448958396912,-0.28737980127334595,0.6368585228919983,0.7906507253646851,-0.15409210324287415,-0.40206894278526306,1.1512799263000488,-0.15271052718162537,-0.4544515311717987,1.1378151178359985,-0.12335921823978424,-0.5006269216537476,1.1682898998260498,-0.07538826018571854,-0.5023082494735718,1.2797536849975586,-0.18791739642620087,-0.5005612969398499,1.1614104509353638,-0.25830313563346863,-0.5021223425865173,1.2602620124816895,0.02876647748053074,0.6007745265960693,0.8358151912689209,-0.2776910960674286,0.6211808323860168,0.9172800779342651
